pmid,pub_year,journal,publication_types,has_abstract,language,title
25881567,2016,Clinical journal of sport medicine : official journal of the Canadian Academy of Sport Medicine,Journal Article,yes,eng,"Mouthguard Use and Awareness of Junior Rugby League Players in the Gold Coast, Australia: A Need for More Education."
25721283,2015,Australian dental journal,"Comparative Study|Journal Article|Research Support, Non-U.S. Gov't",yes,eng,"Reporting dental trauma and its inclusion in an injury surveillance system in Victoria, Australia."
25600092,2015,Clinical oral investigations,Journal Article|Multicenter Study,yes,eng,A multicenter study on dental trauma in permanent incisors among Special Olympics athletes in Europe and Eurasia.
25574879,2015,Current sports medicine reports,Journal Article|Review,yes,eng,Dental problems in athletes.
25536987,2014,Psychiatria Danubina,Journal Article,yes,eng,Orofacial injuries reported by professional and non-professional basketball players in zagreb and zagreb county.
25520762,2014,Asian journal of sports medicine,Journal Article,yes,eng,A study of sports related occurrence of traumatic orodental injuries and associated risk factors in high school students in north India.
25500920,2014,Journal of oral science,Journal Article,yes,eng,Dental trauma and mouthguard awareness and use among contact and noncontact athletes in central India.
25388551,2015,British journal of sports medicine,Journal Article|Systematic Review,yes,eng,Oral health of elite athletes and association with performance: a systematic review.
25244279,2014,Nigerian journal of clinical practice,Journal Article,yes,eng,"A retrospective evaluation of traumatic dental injury in children who applied to the dental hospital, Turkey."
24505897,2013,Revista medico-chirurgicala a Societatii de Medici si Naturalisti din Iasi,Journal Article,yes,eng,Clinical--imaging aspects of young permanent teeth traumas and the ethiopatogenic mechanisms involved.
24502091,2013,Srpski arhiv za celokupno lekarstvo,Journal Article,yes,srp,[Traumatic dental injuries in Serbian children--epidemiological study].
23998194,2014,Dental traumatology : official publication of International Association for Dental Traumatology,Journal Article,yes,eng,Birth order--a risk factor for dental trauma?
23635988,2013,Pediatric dentistry,Journal Article|Review,yes,eng,Evidence-based review of prevention of dental injuries.
23534038,2013,Oral health & preventive dentistry,"Journal Article|Research Support, Non-U.S. Gov't",yes,eng,"Traumatic dental injuries among 12-year-old schoolchildren in Jordan: prevalence, risk factors and treatment need."
23532813,2013,European archives of paediatric dentistry : official journal of the European Academy of Paediatric Dentistry,Journal Article,yes,eng,"Incidence and prevention of traumatic injuries in paediatric handball players in Istanbul, Turkey."
23529288,2013,"Sports medicine (Auckland, N.Z.)",Journal Article|Review,yes,eng,"Injury incidence, risk factors and prevention in Australian rules football."
23439051,2013,Journal of endodontics,Journal Article|Review,yes,eng,Evidence-based review of prevention of dental injuries.
23439040,2013,Journal of endodontics,Journal Article|Review,yes,eng,Epidemiology of traumatic dental injuries.
23045787,2012,Journal of the Irish Dental Association,Journal Article,yes,eng,Mouthguard use and dental injury in sport: a questionnaire study of national school children in the west of Ireland.
22976571,2012,Oral health and dental management,Journal Article,yes,eng,Prevalence of traumatic dental injuries in children who attended two dental clinics in Targu Mures between 2003 and 2011.
22882839,2013,Dental traumatology : official publication of International Association for Dental Traumatology,Journal Article,yes,eng,Prevalence of oral trauma in Para-Pan American Games athletes.
22107072,2012,Dental traumatology : official publication of International Association for Dental Traumatology,Journal Article,yes,eng,"Dental injuries in water polo, a survey of players in Switzerland."
21880516,2011,"Oral surgery, oral medicine, oral pathology, oral radiology, and endodontics","Comparative Study|Journal Article|Research Support, Non-U.S. Gov't",yes,eng,"The association between orthodontic treatment need and maxillary incisor trauma, a retrospective clinical study."
21790975,2011,Dental traumatology : official publication of International Association for Dental Traumatology,Journal Article,yes,eng,Non-accidental collision followed by dental trauma: associated factors.
21755701,2011,Collegium antropologicum,Journal Article,yes,eng,Orofacial injuries reported by junior and senior basketball players.
21496201,2011,Dental traumatology : official publication of International Association for Dental Traumatology,Journal Article,yes,eng,Orofacial trauma in Brazilian basketball players and level of information concerning trauma and mouthguards.
21457187,2011,Dental traumatology : official publication of International Association for Dental Traumatology,"Journal Article|Research Support, Non-U.S. Gov't",yes,eng,"Orofacial and dental trauma of young children in Dunedin, New Zealand."
21382033,2011,International dental journal,Journal Article,yes,eng,A survey of orofacial injuries among basketball players.
21299945,2011,European archives of paediatric dentistry : official journal of the European Academy of Paediatric Dentistry,Journal Article,yes,eng,Clinical audit of children with permanent tooth injuries treated at a dental hospital in Ireland.
21199336,2011,Dental traumatology : official publication of International Association for Dental Traumatology,Comparative Study|Journal Article,yes,eng,Eye injuries and orofacial traumas in floorball--a survey in Switzerland and Sweden.
21197817,2010,The New Zealand dental journal,Journal Article,yes,eng,ACC claims for sports-related dental trauma from 1999 to 2008: a retrospective analysis.
21063551,2010,"Journal of emergencies, trauma, and shock",Journal Article,yes,eng,Prevalence and patterns of combat sport related maxillofacial injuries.
20946344,2010,Dental traumatology : official publication of International Association for Dental Traumatology,Comparative Study|Journal Article,yes,eng,A retrospective study of 889 injured permanent teeth.
20711109,2011,"Medicina oral, patologia oral y cirugia bucal","Journal Article|Research Support, Non-U.S. Gov't",yes,eng,Study of the effect of oral health on physical condition of professional soccer players of the Football Club Barcelona.
20669600,2010,Irish medical journal,Journal Article,yes,eng,Maxillofacial and dental injuries sustained in hurling.
20666978,2010,Journal of public health dentistry,"Journal Article|Research Support, Non-U.S. Gov't",yes,eng,Prevalence and associated factors of traumatic dental injuries in Brazilian schoolchildren.
20572841,2010,Dental traumatology : official publication of International Association for Dental Traumatology,Journal Article,yes,eng,Prevalence of dental trauma in Pan American games athletes.
20486946,2010,Dental traumatology : official publication of International Association for Dental Traumatology,Journal Article,yes,eng,Orofacial and dental injuries of snowboarders in Turkey.
20089070,2010,Dental traumatology : official publication of International Association for Dental Traumatology,Journal Article,yes,eng,"Prevalence of traumatic injuries to maxillary permanent teeth in 9- to 14-year-old school children in Yazd, Iran."
19615582,2009,Journal of oral and maxillofacial surgery : official journal of the American Association of Oral and Maxillofacial Surgeons,Comparative Study|Journal Article,yes,eng,Dental injuries in association with facial fractures.
19614738,2009,Dental traumatology : official publication of International Association for Dental Traumatology,Journal Article,yes,eng,"Consumer products and activities associated with dental injuries to children treated in United States emergency departments, 1990-2003."
19566982,2009,Primary dental care : journal of the Faculty of General Dental Practitioners (UK),Comparative Study|Journal Article,yes,eng,A pilot study of the prevalence of orofacial and head injuries in schoolboy cricketers at eight private schools in England and Australia.
19402309,2009,Fogorvosi szemle,English Abstract|Historical Article|Journal Article,yes,hun,[Changing approaches to traumatic injuries to primary and permanent teeth based on the reports published in 'Fogorvosi Szemle' in the past 100 years].
19290905,2009,Dental traumatology : official publication of International Association for Dental Traumatology,"Journal Article|Research Support, Non-U.S. Gov't",yes,eng,Traumatic dental injuries of permanent incisors in 11- to 13-year-old South African schoolchildren.
19208012,2009,Dental traumatology : official publication of International Association for Dental Traumatology,Journal Article,yes,eng,Activities related to the occurrence of traumatic dental injuries in 15- to 18-year-olds.
19208007,2009,Dental traumatology : official publication of International Association for Dental Traumatology,Journal Article|Review,yes,eng,Aetiology and risk factors related to traumatic dental injuries--a review of the literature.
19149336,2008,Military medicine,Journal Article,yes,eng,Orofacial injuries and mouth guard use in elite commando fighters.
19055884,2008,Journal of dental hygiene : JDH,Journal Article,yes,eng,Mouthguards in the American Hockey League [AHL].
19030141,2008,Journal of athletic training,"Journal Article|Research Support, Non-U.S. Gov't|Research Support, U.S. Gov't, P.H.S.",yes,eng,Epidemiology of rare injuries and conditions among United States high school athletes during the 2005-2006 and 2006-2007 school years.
19021660,2008,Dental traumatology : official publication of International Association for Dental Traumatology,Journal Article,yes,eng,Dental trauma in an Australian rural centre.
19021650,2008,Dental traumatology : official publication of International Association for Dental Traumatology,Journal Article,yes,eng,Retrospective clinical study of 90 avulsed permanent teeth in 58 children.
18821957,2008,Dental traumatology : official publication of International Association for Dental Traumatology,Journal Article,yes,eng,"The relationship between sports activities and permanent incisor crown fractures in a group of school children aged 7-9 and 11-13 in Ankara, Turkey."
18821955,2008,Dental traumatology : official publication of International Association for Dental Traumatology,Journal Article,yes,eng,"Dental injuries in mountain biking--a survey in Switzerland, Austria, Germany and Italy."
18721348,2008,Dental traumatology : official publication of International Association for Dental Traumatology,Journal Article,yes,eng,Dental trauma among 5th and 6th grade Arab schoolchildren in Eastern Jerusalem.
18721342,2008,Dental traumatology : official publication of International Association for Dental Traumatology,Journal Article,yes,eng,Basketball players' experience of dental injury and awareness about mouthguard in China.
18689347,2008,SADJ : journal of the South African Dental Association = tydskrif van die Suid-Afrikaanse Tandheelkundige Vereniging,Journal Article,yes,eng,"Causes and prevalence of traumatic injuries to the permanent incisors of school children aged 10-14 years in Maseru, Lesotho."
18623976,2008,Odonto-stomatologie tropicale = Tropical dental journal,Journal Article,yes,fre,[Prevalence of oro-dental injuries in wrestling in Senegal].
18410389,2008,Dental traumatology : official publication of International Association for Dental Traumatology,Journal Article,yes,eng,Etiology and environment of dental injuries in 12- to 14-year-old Ontario schoolchildren.
18352919,2008,Dental traumatology : official publication of International Association for Dental Traumatology,Journal Article,yes,eng,"Dental and maxillofacial skeletal injuries seen at the University of Otago School of Dentistry, New Zealand 2000-2004."
18173668,2008,Dental traumatology : official publication of International Association for Dental Traumatology,Journal Article,yes,eng,Dental trauma that require fixation in a children's hospital.
17991235,2007,Dental traumatology : official publication of International Association for Dental Traumatology,Journal Article,yes,eng,"Dental and oral trauma during childhood and adolescence in Israel: occurrence, causes, and outcomes."
17933358,2007,Odonto-stomatologie tropicale = Tropical dental journal,English Abstract|Journal Article,yes,fre,"[Dento-alveolar trauma in odonto-stomatologic consultation in a health center in Yaoundé, Cameroon]."
17846669,2007,The journal of contemporary dental practice,Journal Article,yes,eng,Risk factors for traumatic dental injuries in an adolescent male population in India.
17670881,2007,Journal of the American Dental Association (1939),Journal Article,yes,eng,The incidence and severity of dental trauma in intercollegiate athletes.
17635356,2007,Dental traumatology : official publication of International Association for Dental Traumatology,Journal Article,yes,eng,Dentoalveolar trauma in Glasgow: an audit of mechanism and injury.
17511835,2007,Dental traumatology : official publication of International Association for Dental Traumatology,Comparative Study|Journal Article,yes,eng,Dental injuries in inline skating - level of information and prevention.
17227375,2007,Dental traumatology : official publication of International Association for Dental Traumatology,Evaluation Study|Journal Article,yes,eng,Effectiveness of mouthguards in reducing neurocognitive deficits following sports-related cerebral concussion.
24198704,2007,Journal of sports science & medicine,Journal Article,yes,eng,Injury profile in women shotokan karate championships in iran (2004-2005).
17194069,2006,Community dental health,"Journal Article|Research Support, Non-U.S. Gov't",yes,eng,Prevalence and factors associated with traumatic dental injuries (TDI) to anterior teeth of 11-13 year old Thai children.
17073918,2006,Dental traumatology : official publication of International Association for Dental Traumatology,Journal Article,yes,eng,Dental and orofacial trauma in pony and horseback riding children.
16872385,2006,Dental traumatology : official publication of International Association for Dental Traumatology,Journal Article,yes,eng,Aetiology and rates of treatment of traumatic dental injuries among 12-year-old school children in a town in southern Brazil.
16809595,2006,American journal of public health,"Journal Article|Research Support, Non-U.S. Gov't",yes,eng,Neighborhood social capital and dental injuries in Brazilian adolescents.
16711635,2006,Journal of public health dentistry,"Journal Article|Research Support, Non-U.S. Gov't",yes,eng,Prevalence and causes of oral injuries in a population of Canadian adults aged 18 to 50 years--a brief communication.
16247261,2005,Medicine and sport science,Journal Article|Review,yes,eng,Basketball injuries.
16162986,2005,Clinical journal of sport medicine : official journal of the Canadian Academy of Sport Medicine,"Comparative Study|Journal Article|Multicenter Study|Randomized Controlled Trial|Research Support, Non-U.S. Gov't",yes,eng,Comparison of mouth guard designs and concussion prevention in contact sports: a multicenter randomized controlled trial.
16060339,2005,Journal of the California Dental Association,Journal Article|Review,yes,eng,Are mouthguards necessary for basketball?
15876321,2005,Dental traumatology : official publication of International Association for Dental Traumatology,Journal Article,yes,eng,Oro-facial injuries in Central American and Caribbean sports games: a 20-year experience.
15853840,2005,Community dentistry and oral epidemiology,Journal Article,yes,eng,"Dental trauma and its association with anatomic, behavioral, and social variables among fifth and sixth grade schoolchildren in Jerusalem."
15773884,2005,Dental traumatology : official publication of International Association for Dental Traumatology,Journal Article,yes,eng,Traumatic injuries to the teeth in young individuals with cerebral palsy.
15660753,2005,Dental traumatology : official publication of International Association for Dental Traumatology,Journal Article,yes,eng,Dental trauma and mouthguard usage among ice hockey players in Turkey premier league.
15659273,2005,Current sports medicine reports,Journal Article|Review,yes,eng,Dental injuries in sports.
15643760,2003,Oral health & preventive dentistry,"Journal Article|Research Support, Non-U.S. Gov't",yes,eng,Etiology of traumatic dental injuries in 11 to 13-year-old schoolchildren.
15592602,2004,Journal of athletic training,Journal Article,yes,eng,Dental Injuries in Intermediate and High School Athletes: A 15-Year Study at Punahou School.
15562160,2004,British journal of sports medicine,Journal Article,yes,eng,Perception of Nigerian athletes of the use of mouth guards to prevent the stresses of sports injury.
15362317,2004,Journal of science and medicine in sport,"Clinical Trial|Journal Article|Randomized Controlled Trial|Research Support, Non-U.S. Gov't",yes,eng,Do community football players wear allocated protective equipment? Descriptive results from a randomised controlled trial.
15206262,2004,General dentistry,Journal Article|Review,yes,eng,A literature review of sports-related orofacial trauma.
15085503,2004,Journal of oral and maxillofacial surgery : official journal of the American Association of Oral and Maxillofacial Surgeons,Journal Article|Review,yes,eng,"Craniomaxillofacial trauma in children: a review of 3,385 cases with 6,060 injuries in 10 years."
15022997,2003,Dental traumatology : official publication of International Association for Dental Traumatology,Journal Article,yes,eng,Etiological factors related to dental injuries in Norwegians aged 7-18 years.
14708646,2003,Dental traumatology : official publication of International Association for Dental Traumatology,Journal Article,yes,eng,Dental and oral trauma and mouthguard use during sport activities in Israel.
12656848,2003,Dental traumatology : official publication of International Association for Dental Traumatology,Journal Article,yes,eng,"Traumatic dental injuries in children presenting for treatment at the Department of Pediatric Dentistry, Faculty of Dentistry, University of Jordan, 1997-2000."
12602199,2003,Schweizer Monatsschrift fur Zahnmedizin = Revue mensuelle suisse d'odonto-stomatologie = Rivista mensile svizzera di odontologia e stomatologia,Journal Article,yes,ger,[Frequency and nature of anterior tooth injuries and the use of mouth protectors in sports clubs in Bern].
12154770,2002,Dental traumatology : official publication of International Association for Dental Traumatology,Comparative Study|Journal Article,yes,eng,Dental trauma and level of information: mouthguard use in different contact sports.
12139268,2002,Australian dental journal,"Journal Article|Research Support, Non-U.S. Gov't",yes,eng,A survey of dental and oral trauma in south-east Queensland during 1998.
12116516,2002,General dentistry,Journal Article|Review,yes,eng,Dentofacial trauma in sport accidents.
12017183,2002,Journal of endodontics,Journal Article,yes,eng,Causes of dental fractures in the early permanent dentition: a retrospective study.
11880801,2002,Medicine and science in sports and exercise,Journal Article,yes,eng,Dental injuries in ice hockey games and training.
11782645,2002,Medicine and science in sports and exercise,Comparative Study|Journal Article,yes,eng,Effect of mouthguards on dental injuries and concussions in college basketball.
11766091,2001,Dental traumatology : official publication of International Association for Dental Traumatology,Journal Article,yes,eng,A retrospective study of traumatic dental injuries in a Brazilian dental trauma clinic.
11678540,2001,Dental traumatology : official publication of International Association for Dental Traumatology,"Journal Article|Research Support, Non-U.S. Gov't",yes,eng,"Prevalence, causes and correlates of traumatic dental injuries among 13-year-olds in Brazil."
11678537,2001,Dental traumatology : official publication of International Association for Dental Traumatology,Journal Article,yes,eng,"A retrospective study of dento-alveolar injuries of children in Ankara, Turkey."
11499758,2001,Dental traumatology : official publication of International Association for Dental Traumatology,Journal Article,yes,eng,"Dental trauma in children presenting for treatment at the Department of Dentistry for Children and Orthodontics, Budapest, 1985-1999."
11202877,2000,Endodontics & dental traumatology,Journal Article,yes,eng,The aetiology of dento-alveolar injuries and factors influencing attendance for emergency care of adolescents in the north west of England.
